country,location,property_type,apartment_living_area,apartment_rooms,apartment_bedrooms,bedroom_ratio,apartment_bathrooms,building_total_floors,apartment_floor,building_construction_year,price_in_USD
Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",apartment,57.27272727272727,2,2,1.0,0,3.0,3.0,2020.0,260863.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,66.18181818181819,2,0,1.0,2,3.0,3.0,2020.0,298905.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,61.09090909090909,3,2,0.6666666666666666,1,5.0,4.0,2023.0,309775.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,89.0909090909091,4,3,0.6666666666666666,1,1.0,1.0,2023.0,331789.0
others,"Tashkent, Yunusabad district, Uzbekistan",apartment,54.09090909090909,3,1,0.6666666666666666,2,10.0,3.0,2023.0,125000.0
others,"Khanabad, Tashkent Region, Zangiota Tumani, Uzbekistan",apartment,40.72727272727273,2,1,0.6666666666666666,1,6.0,4.0,2023.0,190000.0
others,"Chon Buri Province, Pattaya, Thailand",apartment,15.272727272727273,1,1,0.6666666666666666,0,20.0,1.0,2016.0,55000.0
others,"Chon Buri Province, Pattaya, Thailand",apartment,14.636363636363637,1,0,0.5,1,8.0,8.0,2023.0,42437.0
others,"Chon Buri Province, Pattaya, Thailand",apartment,15.272727272727273,1,0,0.5,1,8.0,8.0,2023.0,42749.0
Montenegro,"Bar, Bar Municipality, Montenegro",apartment,63.63636363636363,3,1,1.0,2,4.0,2.0,2020.0,237571.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,45.18181818181818,2,2,1.0,0,4.0,2.0,2020.0,222820.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,50.90909090909091,2,2,1.0,0,4.0,2.0,2020.0,228255.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,66.18181818181819,4,2,1.0,2,3.0,3.0,2020.0,259744.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,58.54545454545455,2,0,1.0,2,3.0,3.0,2020.0,249993.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,63.63636363636363,3,1,1.0,2,3.0,4.0,2020.0,253596.0
Montenegro,Montenegro,apartment,114.54545454545455,2,2,1.0,0,4.0,2.0,2020.0,233690.0
