country,location,property_type,apartment_living_area,apartment_rooms,apartment_bedrooms,bedroom_ratio,apartment_bathrooms,building_total_floors,apartment_floor,building_construction_year,price_in_USD
Turkey,"Yesilkoey, Mediterranean Region, Antalya, Turkey",apartment,31.818181818181817,2,1,0.6666666666666666,1,11.0,10.0,2023.0,161860.0
Turkey,"Koyunlar, Mediterranean Region, Antalya, Turkey",apartment,40.0,2,1,0.6666666666666666,1,5.0,3.0,2024.0,122823.0
Turkey,"Mediterranean Region, Erdemli, Turkey",apartment,92.27272727272727,3,1,0.6666666666666666,2,5.0,6.0,2019.0,102171.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",apartment,31.818181818181817,2,1,0.6666666666666666,1,5.0,1.0,2023.0,153257.0
Turkey,"Mediterranean Region, Mersin, Turkey",apartment,53.0,2,1,0.6666666666666666,1,14.0,3.0,2024.0,93233.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,45.0,2,1,0.6666666666666666,1,11.0,1.0,2022.0,146735.0
Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",apartment,38.81818181818182,2,1,0.6666666666666666,1,5.0,4.0,2023.0,168474.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,46.0,1,0,0.6666666666666666,1,6.0,2.0,2023.0,129062.0
Turkey,"Marmara Region, Istanbul, Turkey",apartment,67.45454545454545,1,0,0.6666666666666666,2,5.0,3.0,2023.0,117000.0
Turkey,"Mediterranean Region, Gazipasa, Turkey",apartment,28.636363636363637,2,1,0.6666666666666666,1,5.0,1.0,2023.0,109558.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,28.636363636363637,2,1,0.6666666666666666,1,8.0,8.0,2023.0,137636.0
Turkey,"Mediterranean Region, Mersin, Turkey",apartment,48.0,3,2,0.6666666666666666,1,15.0,7.0,2024.0,113041.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",apartment,29.272727272727273,2,1,0.6666666666666666,1,9.0,9.0,2023.0,133232.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,31.18181818181818,4,3,0.6666666666666666,1,5.0,4.0,2022.0,113670.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,33.0,2,1,0.6666666666666666,1,16.0,1.0,2024.0,79346.0
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",apartment,37.54545454545455,2,1,0.5,1,14.0,3.0,2026.0,74998.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,33.0,2,1,0.6666666666666666,1,16.0,4.0,2024.0,85867.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,35.0,2,1,0.6666666666666666,1,16.0,2.0,2024.0,88041.0
Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",apartment,28.636363636363637,2,1,0.5,1,11.0,3.0,2023.0,77715.0
Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",apartment,61.09090909090909,3,2,0.5,1,11.0,3.0,2023.0,80976.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,29.90909090909091,2,1,0.6666666666666666,1,3.0,3.0,2023.0,116417.0
Turkey,"Mediterranean Region, Mersin, Turkey",apartment,30.0,2,1,0.6666666666666666,1,15.0,9.0,2024.0,88041.0
Turkey,"Mediterranean Region, Mersin, Turkey",apartment,63.63636363636363,3,2,0.6666666666666666,1,8.0,8.0,2023.0,94563.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,57.27272727272727,3,2,0.6666666666666666,1,3.0,3.0,2023.0,85090.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,43.27272727272727,2,1,0.6666666666666666,1,2.0,2.0,2023.0,103505.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,27.363636363636363,1,0,0.6666666666666666,1,10.0,6.0,2023.0,104983.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,35.0,2,1,0.6666666666666666,1,16.0,12.0,2024.0,98910.0
Turkey,"Ciftepinar, Mediterranean Region, Erdemli, Turkey",apartment,42.63636363636363,2,1,0.6666666666666666,1,5.0,3.0,2023.0,95650.0
Turkey,"Tarsus, Mediterranean Region, Mersin, Turkey",apartment,63.63636363636363,2,1,0.5,1,11.0,3.0,2023.0,78259.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,44.54545454545455,2,1,0.5,1,1.0,3.0,2023.0,82378.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,32.0,2,1,0.6666666666666666,1,13.0,4.0,2024.0,93476.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,33.0,2,1,0.6666666666666666,1,16.0,10.0,2024.0,92389.0
Turkey,"Altintas, Marmara Region, Bursa, Turkey",apartment,69.0,2,1,0.6666666666666666,1,6.0,4.0,2021.0,96193.0
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",apartment,28.0,2,1,0.6666666666666666,1,15.0,10.0,2024.0,78259.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,35.0,2,1,0.6666666666666666,1,16.0,1.0,2024.0,86954.0
Turkey,Turkey,apartment,57.27272727272727,3,2,0.6666666666666666,1,5.0,3.0,2023.0,109684.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,38.18181818181818,3,2,0.6666666666666666,1,1.0,1.0,2023.0,103611.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,33.0,2,1,0.6666666666666666,1,16.0,13.0,2024.0,96737.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,31.818181818181817,3,2,0.6666666666666666,1,5.0,1.0,2024.0,94563.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,36.0,2,1,0.6666666666666666,1,16.0,5.0,2024.0,90215.0
Turkey,"Mediterranean Region, Mersin, Turkey",apartment,30.0,2,1,0.6666666666666666,1,15.0,13.0,2024.0,92389.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,31.18181818181818,2,1,0.6666666666666666,1,5.0,3.0,2023.0,96737.0
Turkey,"Mediterranean Region, Turkey",apartment,195.0,4,2,0.6666666666666666,2,9.0,1.0,2023.0,101588.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,28.636363636363637,2,1,0.6666666666666666,1,8.0,4.0,2022.0,102274.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",apartment,30.545454545454547,2,1,0.6666666666666666,1,9.0,9.0,2023.0,115614.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,35.0,2,1,0.6666666666666666,1,16.0,11.0,2024.0,97824.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,36.0,2,1,0.6666666666666666,1,16.0,8.0,2024.0,93476.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,36.27272727272727,2,1,0.6666666666666666,1,2.0,2.0,2023.0,122238.0
Turkey,"Marmara Region, Turkey",apartment,41.36363636363636,2,1,0.6666666666666666,1,5.0,3.0,2023.0,107250.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",apartment,95.45454545454545,5,4,0.6666666666666666,1,5.0,3.0,2023.0,114127.0
Turkey,"Demirtas, Mediterranean Region, Alanya, Turkey",apartment,29.272727272727273,2,1,0.6666666666666666,1,8.0,8.0,2023.0,102401.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,79.54545454545455,3,2,0.6666666666666666,1,5.0,5.0,2023.0,110596.0
Turkey,"Konakli, Mediterranean Region, Alanya, Turkey",apartment,35.0,2,1,0.5,1,11.0,3.0,2023.0,81520.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,70.0,3,2,0.6666666666666666,1,1.0,1.0,2023.0,97790.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,39.45454545454545,2,1,0.5,1,11.0,5.0,2016.0,84525.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,31.818181818181817,2,1,0.6666666666666666,1,7.0,5.0,2023.0,94563.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,35.0,2,1,0.6666666666666666,1,5.0,5.0,2023.0,134779.0
Turkey,"Yaylali, Mediterranean Region, Alanya, Turkey",apartment,41.36363636363636,2,1,0.6666666666666666,1,9.0,3.0,2023.0,137666.0
Turkey,"Kargicak, Mediterranean Region, Alanya, Turkey",apartment,38.18181818181818,2,1,0.6666666666666666,1,4.0,1.0,2023.0,127176.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,25.454545454545453,4,3,0.6666666666666666,1,5.0,1.0,2024.0,116301.0
Turkey,"Marmara Region, Turkey",apartment,33.72727272727273,3,2,0.6666666666666666,1,5.0,3.0,2023.0,138583.0
Turkey,"Mediterranean Region, Gazipasa, Turkey",apartment,51.0,2,1,0.6666666666666666,1,6.0,3.0,2023.0,114789.0
Turkey,"Yaylali, Mediterranean Region, Alanya, Turkey",apartment,54.09090909090909,3,2,0.6666666666666666,1,5.0,5.0,2023.0,111410.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",apartment,35.0,2,1,0.6666666666666666,1,8.0,3.0,2023.0,107313.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,76.36363636363636,3,2,0.6666666666666666,1,1.0,1.0,2023.0,122238.0
Turkey,"Mediterranean Region, Mezitli, Turkey",apartment,45.81818181818182,1,0,0.5,2,14.0,1.0,2023.0,86986.0
Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",apartment,63.63636363636363,3,2,0.6666666666666666,1,5.0,2.0,2023.0,163512.0
Turkey,"Central Anatolia Region, Pursaklar, Turkey",apartment,85.0,3,2,0.6666666666666666,1,8.0,3.0,2023.0,94563.0
Turkey,"Kargicak, Mediterranean Region, Alanya, Turkey",apartment,41.36363636363636,2,1,0.6666666666666666,1,11.0,1.0,2023.0,163512.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,33.0,2,1,0.6666666666666666,1,16.0,8.0,2024.0,90215.0
Turkey,"Mediterranean Region, Mersin, Turkey",apartment,30.0,2,1,0.6666666666666666,1,15.0,2.0,2024.0,80433.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,70.0,3,2,0.6666666666666666,1,4.0,4.0,2023.0,168805.0
Turkey,"Mediterranean Region, Gazipasa, Turkey",apartment,46.0,2,1,0.6666666666666666,1,5.0,3.0,2023.0,92389.0
Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",apartment,152.72727272727272,3,2,0.5,1,11.0,3.0,2023.0,81520.0
Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",apartment,28.636363636363637,2,1,0.6666666666666666,1,5.0,3.0,2023.0,155431.0
Turkey,"Coerues, Mediterranean Region, Gazipasa, Turkey",apartment,37.54545454545455,2,1,0.6666666666666666,1,6.0,3.0,2024.0,118475.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,32.45454545454545,2,1,0.6666666666666666,1,4.0,3.0,2023.0,127176.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,38.18181818181818,2,1,0.6666666666666666,1,5.0,4.0,2022.0,107606.0
Turkey,"Mediterranean Region, Gazipasa, Turkey",apartment,35.0,2,1,0.6666666666666666,1,5.0,3.0,2023.0,107606.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",apartment,31.818181818181817,2,1,0.6666666666666666,1,3.0,3.0,2023.0,161860.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,47.72727272727273,2,1,0.6666666666666666,1,2.0,2.0,2023.0,157163.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,30.545454545454547,1,0,0.6666666666666666,1,5.0,3.0,2023.0,131518.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,70.0,3,2,0.6666666666666666,1,5.0,3.0,2023.0,113812.0
Turkey,"Bahtili, Mediterranean Region, Antalya, Turkey",apartment,51.0,2,1,0.6666666666666666,1,2.0,3.0,2019.0,119562.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,35.0,5,4,0.6666666666666666,1,5.0,1.0,2023.0,112497.0
Turkey,"Okurcalar, Mediterranean Region, Alanya, Turkey",apartment,47.72727272727273,3,2,0.5,1,11.0,3.0,2023.0,65216.0
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",apartment,28.0,2,1,0.6666666666666666,1,15.0,6.0,2024.0,70650.0
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",apartment,28.0,2,1,0.6666666666666666,1,15.0,10.0,2024.0,74998.0
Turkey,"Mediterranean Region, Gazipasa, Turkey",apartment,35.0,2,1,0.5,1,11.0,3.0,2023.0,73368.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",apartment,34.36363636363636,2,1,0.5,1,11.0,3.0,2023.0,63585.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,29.90909090909091,2,1,0.6666666666666666,1,2.0,2.0,2023.0,84667.0
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",apartment,28.0,2,1,0.6666666666666666,1,15.0,10.0,2024.0,78259.0
Turkey,"Mediterranean Region, Mersin, Turkey",apartment,25.454545454545453,2,1,0.6666666666666666,1,13.0,13.0,2023.0,75975.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,35.0,2,1,0.6666666666666666,1,16.0,7.0,2024.0,93476.0
Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",apartment,57.27272727272727,3,2,0.5,1,11.0,3.0,2023.0,81520.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,34.36363636363636,2,1,0.6666666666666666,1,6.0,6.0,2023.0,88900.0
Turkey,"Mediterranean Region, Mersin, Turkey",apartment,27.363636363636363,2,1,0.6666666666666666,1,9.0,2.0,2023.0,73773.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",apartment,70.0,3,2,0.6666666666666666,1,5.0,2.0,2023.0,108693.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,70.0,3,2,0.6666666666666666,1,4.0,4.0,2023.0,104775.0
Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",apartment,33.09090909090909,2,1,0.5,1,5.0,2.0,2023.0,88041.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,44.54545454545455,3,2,0.5,1,11.0,3.0,2023.0,85867.0
Turkey,"Mediterranean Region, Alanya, Turkey",apartment,35.0,2,1,0.6666666666666666,1,8.0,1.0,2024.0,93662.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,75.0,2,1,0.6666666666666666,1,5.0,3.0,2001.0,104259.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,35.0,2,1,0.6666666666666666,1,16.0,5.0,2024.0,91302.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,38.18181818181818,2,1,0.6666666666666666,1,2.0,2.0,2023.0,154835.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,41.36363636363636,2,1,0.6666666666666666,1,4.0,4.0,2023.0,133880.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,35.0,2,1,0.6666666666666666,1,5.0,3.0,2023.0,112769.0
Turkey,"Tuerkler, Mediterranean Region, Alanya, Turkey",apartment,35.63636363636363,2,1,0.6666666666666666,1,4.0,3.0,2025.0,135866.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,23.545454545454547,2,1,0.6666666666666666,1,1.0,1.0,2023.0,94192.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,35.0,2,1,0.6666666666666666,1,8.0,2.0,2023.0,90215.0
Turkey,"Mediterranean Region, Alanya, Turkey",apartment,36.90909090909091,2,1,0.6666666666666666,1,6.0,1.0,2023.0,101375.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,38.18181818181818,3,2,0.6666666666666666,1,3.0,3.0,2023.0,105834.0
Turkey,"Mediterranean Region, Alanya, Turkey",apartment,54.09090909090909,3,2,0.6666666666666666,1,5.0,1.0,2016.0,113795.0
Turkey,"Mediterranean Region, Gazipasa, Turkey",apartment,63.63636363636363,3,2,0.6666666666666666,1,5.0,3.0,2023.0,95949.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",apartment,31.818181818181817,2,1,0.6666666666666666,1,5.0,3.0,2023.0,97824.0
Turkey,"Beylikduezue, Marmara Region, Turkey",apartment,82.72727272727272,3,1,0.6666666666666666,2,5.0,2.0,2020.0,90065.0
Turkey,"Central Anatolia Region, Pursaklar, Turkey",apartment,112.0,4,2,0.6666666666666666,2,6.0,3.0,2023.0,94563.0
Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",apartment,42.63636363636363,2,1,0.6666666666666666,1,5.0,3.0,2023.0,93169.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,101.81818181818181,3,2,0.6666666666666666,1,5.0,3.0,2023.0,108149.0
Turkey,"Doglu, Mediterranean Region, Mersin, Turkey",apartment,70.0,3,2,0.6666666666666666,1,5.0,2.0,2023.0,103258.0
Turkey,"Altinkum, Mediterranean Region, Antalya, Turkey",apartment,92.27272727272727,2,1,0.6666666666666666,1,5.0,3.0,2023.0,91111.0
Turkey,"Camoba, Black Sea Region, Turkey",apartment,135.0,4,2,0.6666666666666666,2,8.0,3.0,2021.0,145648.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,35.0,2,1,0.6666666666666666,1,16.0,11.0,2024.0,97824.0
Turkey,"Demirtas, Mediterranean Region, Alanya, Turkey",apartment,29.272727272727273,2,1,0.6666666666666666,1,6.0,6.0,2023.0,102401.0
Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",apartment,63.63636363636363,1,0,0.6666666666666666,1,14.0,6.0,2022.0,99983.0
Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",apartment,31.818181818181817,2,1,0.6666666666666666,1,4.0,3.0,2023.0,115064.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,33.09090909090909,1,0,0.6666666666666666,1,5.0,3.0,2023.0,95650.0
Turkey,"Mediterranean Region, Mersin, Turkey",apartment,48.0,3,2,0.6666666666666666,1,15.0,9.0,2024.0,115214.0
Turkey,"Mediterranean Region, Mersin, Turkey",apartment,70.0,3,2,0.6666666666666666,1,10.0,10.0,2023.0,105093.0
Turkey,"Mediterranean Region, Alanya, Turkey",apartment,42.0,1,0,0.6666666666666666,1,4.0,1.0,2023.0,101274.0
Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",apartment,42.0,2,1,0.6666666666666666,1,9.0,3.0,2024.0,102715.0
Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",apartment,59.81818181818182,3,2,0.5,1,11.0,3.0,2023.0,84911.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,108.18181818181819,4,3,0.6666666666666666,1,4.0,3.0,2023.0,108063.0
Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",apartment,72.54545454545455,3,2,0.6666666666666666,1,5.0,3.0,2023.0,92389.0
Turkey,"Kargicak, Mediterranean Region, Alanya, Turkey",apartment,47.09090909090909,2,1,0.6666666666666666,1,5.0,3.0,2023.0,105976.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,35.0,2,1,0.6666666666666666,1,4.0,4.0,2023.0,95250.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",apartment,75.0909090909091,2,2,0.6666666666666666,0,5.0,3.0,2023.0,128801.0
Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",apartment,35.0,2,1,0.6666666666666666,1,4.0,4.0,2023.0,110109.0
Turkey,"Incekum, Mediterranean Region, Alanya, Turkey",apartment,41.36363636363636,1,1,0.6666666666666666,0,5.0,3.0,2023.0,103258.0
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",apartment,33.72727272727273,2,1,0.5,1,16.0,3.0,2024.0,79346.0
Turkey,"Mediterranean Region, Gazipasa, Turkey",apartment,37.54545454545455,2,1,0.5,1,11.0,3.0,2023.0,81520.0
Turkey,"Mediterranean Region, Turkey",apartment,43.90909090909091,1,0,0.5,1,14.0,3.0,2024.0,85000.0
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",apartment,28.0,2,1,0.6666666666666666,1,15.0,10.0,2024.0,78259.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",apartment,31.18181818181818,1,0,0.5,1,11.0,3.0,2023.0,79987.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",penthouse,48.0,2,1,0.5833333333333333,1,11.0,3.0,2023.0,84780.0
Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",apartment,41.0,2,1,0.6666666666666666,1,5.0,3.0,2023.0,114127.0
Turkey,"Guendogdu, Marmara Region, Turkey",apartment,57.0,2,0,0.6666666666666666,2,5.0,3.0,2024.0,120649.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",apartment,64.27272727272727,1,0,0.6666666666666666,2,5.0,3.0,2023.0,139977.0
Turkey,"Mediterranean Region, Gazipasa, Turkey",apartment,32.45454545454545,2,1,0.6666666666666666,1,8.0,8.0,2023.0,128420.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,28.636363636363637,2,1,0.6666666666666666,1,1.0,1.0,2023.0,119910.0
Turkey,"Marmara Region, Karadenizliler Mahallesi, Basiskele, Turkey",apartment,71.9090909090909,3,2,0.6666666666666666,1,5.0,3.0,2023.0,180947.0
Turkey,"Kargicak, Mediterranean Region, Alanya, Turkey",apartment,31.818181818181817,2,1,0.6666666666666666,1,9.0,8.0,2023.0,148647.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",apartment,29.272727272727273,2,1,0.6666666666666666,1,4.0,4.0,2023.0,175073.0
Turkey,"Mediterranean Region, Turkey",apartment,55.0,2,1,0.6666666666666666,1,5.0,3.0,2024.0,173211.0
Turkey,"Etimesgut, Central Anatolia Region, Ankara, Yenimahalle, Turkey",apartment,71.0,3,1,0.6666666666666666,2,12.0,3.0,2023.0,143475.0
Turkey,"Mediterranean Region, Antalya, Turkey",penthouse,74.0,3,1,0.6666666666666666,2,3.0,3.0,2023.0,172822.0
Turkey,"Kargicak, Mediterranean Region, Alanya, Turkey",apartment,35.0,2,1,0.6666666666666666,1,5.0,3.0,2023.0,145344.0
Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",apartment,35.0,1,1,0.6666666666666666,0,5.0,3.0,2023.0,169561.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",apartment,77.0,4,3,0.6666666666666666,1,7.0,6.0,2023.0,163039.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,45.0,2,1,0.6666666666666666,1,5.0,1.0,2024.0,168474.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,31.818181818181817,2,1,0.6666666666666666,1,4.0,3.0,2021.0,158692.0
Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",apartment,59.81818181818182,3,2,0.6666666666666666,1,4.0,4.0,2024.0,149022.0
Turkey,"Mediterranean Region, Turkey",apartment,42.63636363636363,3,2,0.6666666666666666,1,5.0,3.0,2024.0,157000.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",apartment,41.36363636363636,2,1,0.6666666666666666,1,5.0,3.0,2022.0,137496.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,35.0,2,1,0.6666666666666666,1,3.0,3.0,2023.0,139701.0
Turkey,"Yeni Karakoey, Central Anatolia Region, Pursaklar, Turkey",apartment,148.0,5,3,0.6666666666666666,2,15.0,3.0,2023.0,109780.0
Turkey,"Mediterranean Region, Gazipasa, Turkey",apartment,35.0,1,0,0.5,1,10.0,6.0,2023.0,79759.0
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",apartment,28.0,2,1,0.6666666666666666,1,15.0,8.0,2024.0,76085.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",apartment,57.27272727272727,3,2,0.6666666666666666,1,4.0,1.0,2023.0,183882.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,22.272727272727273,2,1,0.6666666666666666,1,3.0,3.0,2023.0,82550.0
Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",apartment,46.45454545454545,3,2,0.5,1,11.0,5.0,2023.0,65759.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,25.454545454545453,1,0,0.5,1,11.0,3.0,2023.0,81520.0
Turkey,"Akarca, Central Anatolia Region, Turkey",apartment,35.0,2,1,0.5,1,13.0,3.0,2023.0,77172.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",apartment,31.818181818181817,3,2,0.6666666666666666,1,5.0,1.0,2024.0,161409.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,41.36363636363636,2,1,0.5,1,4.0,3.0,2023.0,67203.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",apartment,57.27272727272727,2,1,0.5,1,11.0,3.0,2023.0,86411.0
Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",apartment,31.18181818181818,2,1,0.5,1,11.0,3.0,2023.0,73368.0
Turkey,"Mediterranean Region, Gazipasa, Turkey",apartment,41.36363636363636,2,1,0.6666666666666666,1,1.0,1.0,2023.0,87630.0
Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",apartment,46.0,2,1,0.6666666666666666,1,10.0,3.0,2024.0,92389.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",apartment,35.0,2,1,0.5,1,11.0,3.0,2023.0,80433.0
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",apartment,28.0,2,1,0.6666666666666666,1,15.0,9.0,2024.0,73911.0
Turkey,"Okurcalar, Mediterranean Region, Alanya, Turkey",apartment,31.818181818181817,2,1,0.6666666666666666,1,5.0,3.0,2024.0,130431.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,50.0,1,0,0.6666666666666666,1,6.0,2.0,2023.0,111688.0
Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",apartment,87.18181818181819,4,3,0.6666666666666666,1,5.0,3.0,2023.0,124997.0
Turkey,"Aegean Region, Turkey",apartment,90.0,3,2,0.6666666666666666,1,5.0,3.0,2023.0,119000.0
Turkey,"Mediterranean Region, Erdemli, Turkey",apartment,47.72727272727273,3,2,0.6666666666666666,1,5.0,4.0,2023.0,90215.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",apartment,31.18181818181818,2,1,0.6666666666666666,1,5.0,3.0,2023.0,99997.0
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",apartment,60.45454545454545,3,2,0.6666666666666666,1,5.0,4.0,2022.0,108675.0
